,Description,Source,Quantity,Invoice Count,UnitPrice,TopPrice
27, RED SPOT GIFT BAG LARGE,Offline,327.0,27,1.34,True
28, RED SPOT GIFT BAG LARGE,Website,344.0,25,1.4,True
29, SET 2 TEA TOWELS I LOVE LONDON ,Amazon,430.0,70,3.73,True
30, SET 2 TEA TOWELS I LOVE LONDON ,Emag,434.0,69,3.52,True
31, SET 2 TEA TOWELS I LOVE LONDON ,Offline,490.0,68,3.51,True
32, SET 2 TEA TOWELS I LOVE LONDON ,Website,1427.0,75,3.42,True
33, SPACEBOY BABY GIFT SET,Amazon,143.0,49,15.24,True
34, SPACEBOY BABY GIFT SET,Emag,105.0,53,15.83,True
35, SPACEBOY BABY GIFT SET,Offline,143.0,55,16.76,True
36, SPACEBOY BABY GIFT SET,Website,102.0,31,15.76,True
37, TOADSTOOL BEDSIDE LIGHT ,Amazon,2.0,1,8.95,True
38, TRELLIS COAT RACK,Amazon,89.0,12,4.88,True
39, TRELLIS COAT RACK,Emag,65.0,19,6.14,True
40, TRELLIS COAT RACK,Offline,18.0,10,6.12,True
41, TRELLIS COAT RACK,Website,54.0,17,5.98,True
42,*Boombox Ipod Classic,Offline,1.0,1,16.98,True
43,*USB Office Mirror Ball,Emag,1.0,1,8.47,True
44,*USB Office Mirror Ball,Offline,1.0,1,8.47,True
45,10 COLOUR SPACEBOY PEN,Amazon,1723.0,84,1.02,True
46,10 COLOUR SPACEBOY PEN,Emag,1207.0,82,1.09,True
47,10 COLOUR SPACEBOY PEN,Offline,1708.0,80,1.05,True
48,10 COLOUR SPACEBOY PEN,Website,1754.0,81,1.04,True
49,12 COLOURED PARTY BALLOONS,Amazon,438.0,39,0.7,False
50,12 COLOURED PARTY BALLOONS,Emag,692.0,45,0.69,False
51,12 COLOURED PARTY BALLOONS,Offline,495.0,45,0.73,True
52,12 COLOURED PARTY BALLOONS,Website,510.0,41,0.69,True
53,12 DAISY PEGS IN WOOD BOX,Amazon,87.0,23,2.08,True
54,12 DAISY PEGS IN WOOD BOX,Emag,129.0,30,1.7,True
55,12 DAISY PEGS IN WOOD BOX,Offline,92.0,19,1.91,True
56,12 DAISY PEGS IN WOOD BOX,Website,41.0,12,2.07,True
57,12 EGG HOUSE PAINTED WOOD,Amazon,52.0,30,16.81,True
58,12 EGG HOUSE PAINTED WOOD,Emag,37.0,29,17.86,True
59,12 EGG HOUSE PAINTED WOOD,Offline,36.0,25,18.16,True
60,12 EGG HOUSE PAINTED WOOD,Website,23.0,16,15.04,True
61,12 HANGING EGGS HAND PAINTED,Amazon,23.0,4,2.08,True
62,12 HANGING EGGS HAND PAINTED,Emag,3.0,3,2.08,True
63,12 HANGING EGGS HAND PAINTED,Offline,10.0,1,2.08,True
64,12 HANGING EGGS HAND PAINTED,Website,6.0,2,2.08,True
65,12 IVORY ROSE PEG PLACE SETTINGS,Amazon,267.0,39,1.68,True
66,12 IVORY ROSE PEG PLACE SETTINGS,Emag,309.0,46,1.62,False
67,12 IVORY ROSE PEG PLACE SETTINGS,Offline,171.0,26,1.77,True
68,12 IVORY ROSE PEG PLACE SETTINGS,Website,221.0,39,1.81,True
69,12 MESSAGE CARDS WITH ENVELOPES,Amazon,394.0,64,2.09,True
70,12 MESSAGE CARDS WITH ENVELOPES,Emag,493.0,60,2.0,True
71,12 MESSAGE CARDS WITH ENVELOPES,Offline,342.0,62,2.21,True
72,12 MESSAGE CARDS WITH ENVELOPES,Website,510.0,79,1.9,True
73,12 PENCIL SMALL TUBE WOODLAND,Amazon,1926.0,99,0.78,True
74,12 PENCIL SMALL TUBE WOODLAND,Emag,999.0,86,0.79,True
75,12 PENCIL SMALL TUBE WOODLAND,Offline,881.0,90,0.78,True
76,12 PENCIL SMALL TUBE WOODLAND,Website,696.0,97,0.79,True
77,12 PENCILS SMALL TUBE RED RETROSPOT,Amazon,1797.0,95,0.73,True
78,12 PENCILS SMALL TUBE RED RETROSPOT,Emag,2186.0,96,0.76,True
79,12 PENCILS SMALL TUBE RED RETROSPOT,Offline,1266.0,86,0.76,True
80,12 PENCILS SMALL TUBE RED RETROSPOT,Website,1271.0,97,0.7,True
81,12 PENCILS SMALL TUBE SKULL,Amazon,1298.0,98,0.78,True
82,12 PENCILS SMALL TUBE SKULL,Emag,1628.0,95,0.74,True
83,12 PENCILS SMALL TUBE SKULL,Offline,1635.0,86,0.76,True
84,12 PENCILS SMALL TUBE SKULL,Website,1856.0,91,0.72,True
85,12 PENCILS TALL TUBE POSY,Amazon,1396.0,49,0.39,True
86,12 PENCILS TALL TUBE POSY,Emag,680.0,42,0.38,False
87,12 PENCILS TALL TUBE POSY,Offline,847.0,47,0.4,True
88,12 PENCILS TALL TUBE POSY,Website,865.0,42,0.37,True
89,12 PENCILS TALL TUBE RED RETROSPOT,Amazon,641.0,80,0.97,True
90,12 PENCILS TALL TUBE RED RETROSPOT,Emag,668.0,75,0.89,True
91,12 PENCILS TALL TUBE RED RETROSPOT,Offline,642.0,64,0.95,True
92,12 PENCILS TALL TUBE RED RETROSPOT,Website,788.0,68,0.92,True
93,12 PENCILS TALL TUBE SKULLS,Amazon,544.0,60,0.95,True
94,12 PENCILS TALL TUBE SKULLS,Emag,631.0,73,0.97,True
95,12 PENCILS TALL TUBE SKULLS,Offline,558.0,67,0.94,True
96,12 PENCILS TALL TUBE SKULLS,Website,419.0,66,0.96,True
97,12 PENCILS TALL TUBE WOODLAND,Amazon,454.0,68,0.99,True
98,12 PENCILS TALL TUBE WOODLAND,Emag,546.0,72,0.94,True
99,12 PENCILS TALL TUBE WOODLAND,Offline,426.0,49,0.96,True
100,12 PENCILS TALL TUBE WOODLAND,Website,531.0,67,0.96,True
101,12 PINK HEN+CHICKS IN BASKET,Amazon,2.0,2,2.55,True
102,12 PINK HEN+CHICKS IN BASKET,Emag,13.0,2,2.55,False
103,12 PINK HEN+CHICKS IN BASKET,Offline,10.0,4,2.55,True
104,12 PINK HEN+CHICKS IN BASKET,Website,10.0,7,2.55,True
105,12 PINK ROSE PEG PLACE SETTINGS,Amazon,22.0,5,1.25,False
106,12 PINK ROSE PEG PLACE SETTINGS,Emag,12.0,4,1.25,True
107,12 PINK ROSE PEG PLACE SETTINGS,Offline,103.0,6,1.25,True
108,12 PINK ROSE PEG PLACE SETTINGS,Website,73.0,7,1.25,True
109,12 RED ROSE PEG PLACE SETTINGS,Amazon,110.0,30,1.53,True
110,12 RED ROSE PEG PLACE SETTINGS,Emag,155.0,23,1.57,False
111,12 RED ROSE PEG PLACE SETTINGS,Offline,101.0,26,1.54,True
112,12 RED ROSE PEG PLACE SETTINGS,Website,91.0,37,1.61,True
113,15 PINK FLUFFY CHICKS IN BOX,Amazon,1.0,1,2.95,True
114,15 PINK FLUFFY CHICKS IN BOX,Emag,6.0,4,2.95,False
115,15 PINK FLUFFY CHICKS IN BOX,Offline,3.0,2,2.95,True
116,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Amazon,376.0,67,8.94,True
117,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Emag,389.0,78,9.42,True
118,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Offline,249.0,67,9.36,True
119,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Website,304.0,73,9.0,True
120,16 PC CUTLERY SET PANTRY DESIGN,Emag,4.0,1,15.95,True
121,16 PIECE CUTLERY SET PANTRY DESIGN,Amazon,60.0,21,17.09,True
122,16 PIECE CUTLERY SET PANTRY DESIGN,Emag,57.0,15,18.02,False
123,16 PIECE CUTLERY SET PANTRY DESIGN,Offline,79.0,22,17.5,True
124,16 PIECE CUTLERY SET PANTRY DESIGN,Website,56.0,13,15.54,True
125,18PC WOODEN CUTLERY SET DISPOSABLE,Amazon,314.0,18,1.78,True
126,18PC WOODEN CUTLERY SET DISPOSABLE,Emag,64.0,10,1.86,True
127,18PC WOODEN CUTLERY SET DISPOSABLE,Offline,48.0,8,1.7,True
128,18PC WOODEN CUTLERY SET DISPOSABLE,Website,141.0,7,1.6,True
129,2 DAISIES HAIR COMB,Amazon,-3.0,4,2.93,True
130,2 DAISIES HAIR COMB,Emag,9.0,3,2.92,True
131,2 DAISIES HAIR COMB,Offline,1.0,1,2.9,True
132,2 DAISIES HAIR COMB,Website,5.0,5,2.9,True
133,2 PICTURE BOOK EGGS EASTER BUNNY,Amazon,70.0,12,1.75,True
134,2 PICTURE BOOK EGGS EASTER BUNNY,Emag,26.0,11,2.02,True
135,2 PICTURE BOOK EGGS EASTER BUNNY,Offline,34.0,5,1.49,True
136,2 PICTURE BOOK EGGS EASTER BUNNY,Website,52.0,8,1.86,True
137,2 PICTURE BOOK EGGS EASTER CHICKS,Amazon,58.0,9,1.65,True
138,2 PICTURE BOOK EGGS EASTER CHICKS,Emag,28.0,4,1.55,True
139,2 PICTURE BOOK EGGS EASTER CHICKS,Offline,47.0,7,1.25,True
140,2 PICTURE BOOK EGGS EASTER CHICKS,Website,37.0,6,1.45,True
141,2 PICTURE BOOK EGGS EASTER DUCKS,Amazon,19.0,5,1.25,True
142,2 PICTURE BOOK EGGS EASTER DUCKS,Emag,21.0,7,1.94,True
143,2 PICTURE BOOK EGGS EASTER DUCKS,Offline,17.0,3,1.65,True
144,2 PICTURE BOOK EGGS EASTER DUCKS,Website,67.0,10,1.73,True
145,20 DOLLY PEGS RETROSPOT,Amazon,340.0,49,1.6,True
146,20 DOLLY PEGS RETROSPOT,Emag,1145.0,59,1.6,False
147,20 DOLLY PEGS RETROSPOT,Offline,387.0,66,1.54,True
148,20 DOLLY PEGS RETROSPOT,Website,572.0,63,1.51,True
149,200 BENDY SKULL STRAWS,Amazon,314.0,13,1.5,True
150,200 BENDY SKULL STRAWS,Emag,35.0,11,1.25,True
151,200 BENDY SKULL STRAWS,Offline,268.0,24,1.39,True
152,200 BENDY SKULL STRAWS,Website,43.0,9,1.25,True
153,200 RED + WHITE BENDY STRAWS,Amazon,142.0,38,1.41,True
154,200 RED + WHITE BENDY STRAWS,Emag,240.0,49,1.54,False
155,200 RED + WHITE BENDY STRAWS,Offline,322.0,44,1.36,True
156,200 RED + WHITE BENDY STRAWS,Website,214.0,44,1.5,True
157,20713,Website,-400.0,1,0.0,True
158,20713 wrongly marked,Website,-200.0,1,0.0,True
159,3 BIRDS CANVAS SCREEN,Emag,2.0,2,1.02,True
160,3 BLACK CATS W HEARTS BLANK CARD,Offline,18.0,2,0.19,True
161,3 BLACK CATS W HEARTS BLANK CARD,Website,6.0,1,0.19,True
162,3 DRAWER ANTIQUE WHITE WOOD CABINET,Amazon,209.0,64,9.25,True
163,3 DRAWER ANTIQUE WHITE WOOD CABINET,Emag,144.0,43,9.41,True
164,3 DRAWER ANTIQUE WHITE WOOD CABINET,Offline,208.0,58,9.0,True
165,3 DRAWER ANTIQUE WHITE WOOD CABINET,Website,140.0,48,9.49,True
166,3 GARDENIA MORRIS BOXED CANDLES,Amazon,137.0,23,3.09,True
167,3 GARDENIA MORRIS BOXED CANDLES,Emag,119.0,21,2.5,True
168,3 GARDENIA MORRIS BOXED CANDLES,Offline,182.0,24,2.38,True
169,3 GARDENIA MORRIS BOXED CANDLES,Website,59.0,21,3.78,True
170,3 HEARTS HANGING DECORATION RUSTIC,Amazon,774.0,88,3.26,True
171,3 HEARTS HANGING DECORATION RUSTIC,Emag,930.0,72,3.4,True
172,3 HEARTS HANGING DECORATION RUSTIC,Offline,636.0,81,3.15,True
173,3 HEARTS HANGING DECORATION RUSTIC,Website,1098.0,82,3.53,True
174,3 HOOK HANGER MAGIC GARDEN,Amazon,295.0,42,2.56,True
175,3 HOOK HANGER MAGIC GARDEN,Emag,308.0,46,2.89,True
176,3 HOOK HANGER MAGIC GARDEN,Offline,367.0,41,2.74,True
177,3 HOOK HANGER MAGIC GARDEN,Website,719.0,41,2.9,True
178,3 HOOK PHOTO SHELF ANTIQUE WHITE,Amazon,574.0,111,10.43,True
179,3 HOOK PHOTO SHELF ANTIQUE WHITE,Emag,348.0,109,10.12,True
180,3 HOOK PHOTO SHELF ANTIQUE WHITE,Offline,323.0,87,9.26,True
181,3 HOOK PHOTO SHELF ANTIQUE WHITE,Website,454.0,96,9.76,True
182,3 PIECE SPACEBOY COOKIE CUTTER SET,Amazon,375.0,101,2.57,False
183,3 PIECE SPACEBOY COOKIE CUTTER SET,Emag,371.0,83,2.62,False
184,3 PIECE SPACEBOY COOKIE CUTTER SET,Offline,871.0,104,2.47,True
185,3 PIECE SPACEBOY COOKIE CUTTER SET,Website,997.0,103,2.44,True
186,3 PINK HEN+CHICKS IN BASKET,Amazon,1.0,1,1.25,True
187,3 PINK HEN+CHICKS IN BASKET,Emag,3.0,1,1.25,True
188,3 PINK HEN+CHICKS IN BASKET,Offline,5.0,3,1.25,True
189,3 PINK HEN+CHICKS IN BASKET,Website,3.0,1,1.25,True
190,3 RAFFIA RIBBONS 50'S CHRISTMAS ,Amazon,496.0,52,0.9,False
191,3 RAFFIA RIBBONS 50'S CHRISTMAS ,Emag,631.0,48,0.91,True
192,3 RAFFIA RIBBONS 50'S CHRISTMAS ,Offline,374.0,43,0.83,True
193,3 RAFFIA RIBBONS 50'S CHRISTMAS ,Website,594.0,59,0.87,True
194,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,Amazon,162.0,28,0.82,True
195,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,Emag,195.0,31,0.81,True
196,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,Offline,351.0,20,0.81,True
197,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,Website,119.0,21,1.22,True
198,3 ROSE MORRIS BOXED CANDLES,Amazon,201.0,35,2.46,True
199,3 ROSE MORRIS BOXED CANDLES,Emag,229.0,45,1.95,False
200,3 ROSE MORRIS BOXED CANDLES,Offline,279.0,39,2.12,True
201,3 ROSE MORRIS BOXED CANDLES,Website,404.0,55,2.55,True
202,3 STRIPEY MICE FELTCRAFT,Amazon,666.0,118,2.37,True
203,3 STRIPEY MICE FELTCRAFT,Emag,645.0,112,2.32,True
204,3 STRIPEY MICE FELTCRAFT,Offline,706.0,117,2.16,True
205,3 STRIPEY MICE FELTCRAFT,Website,1002.0,136,2.23,True
206,3 TIER CAKE TIN GREEN AND CREAM,Amazon,71.0,44,18.47,True
207,3 TIER CAKE TIN GREEN AND CREAM,Emag,187.0,72,17.95,True
208,3 TIER CAKE TIN GREEN AND CREAM,Offline,78.0,45,17.94,True
209,3 TIER CAKE TIN GREEN AND CREAM,Website,97.0,53,19.33,True
210,3 TIER CAKE TIN RED AND CREAM,Amazon,293.0,46,16.66,True
211,3 TIER CAKE TIN RED AND CREAM,Emag,120.0,48,16.23,True
212,3 TIER CAKE TIN RED AND CREAM,Offline,72.0,47,16.83,True
213,3 TIER CAKE TIN RED AND CREAM,Website,76.0,41,18.74,True
214,3 TIER SWEETHEART GARDEN SHELF,Amazon,18.0,12,35.45,True
215,3 TIER SWEETHEART GARDEN SHELF,Emag,8.0,7,35.52,True
216,3 TIER SWEETHEART GARDEN SHELF,Offline,11.0,10,35.65,True
217,3 TIER SWEETHEART GARDEN SHELF,Website,17.0,15,35.95,True
218,3 TRADITIONAL COOKIE CUTTERS  SET,Emag,6.0,1,2.1,True
219,3 TRADITIONAL COOKIE CUTTERS  SET,Offline,12.0,2,2.1,True
220,3 TRADITIONAL COOKIE CUTTERS  SET,Website,144.0,1,1.85,True
221,3 TRADITIONAl BISCUIT CUTTERS  SET,Amazon,274.0,65,2.41,True
222,3 TRADITIONAl BISCUIT CUTTERS  SET,Emag,317.0,59,2.45,True
223,3 TRADITIONAl BISCUIT CUTTERS  SET,Offline,350.0,70,2.21,True
224,3 TRADITIONAl BISCUIT CUTTERS  SET,Website,232.0,46,2.34,True
225,3 WHITE CHOC MORRIS BOXED CANDLES,Amazon,189.0,28,2.62,True
226,3 WHITE CHOC MORRIS BOXED CANDLES,Emag,269.0,36,3.16,False
227,3 WHITE CHOC MORRIS BOXED CANDLES,Offline,329.0,34,2.51,True
228,3 WHITE CHOC MORRIS BOXED CANDLES,Website,163.0,27,2.61,True
229,3 WICK CHRISTMAS BRIAR CANDLE ,Amazon,3.0,2,6.11,True
230,3 WICK CHRISTMAS BRIAR CANDLE ,Website,-4.0,1,3.75,True
231,36 DOILIES DOLLY GIRL,Amazon,365.0,31,1.69,False
232,36 DOILIES DOLLY GIRL,Emag,173.0,22,1.66,True
233,36 DOILIES DOLLY GIRL,Offline,243.0,20,1.67,True
234,36 DOILIES DOLLY GIRL,Website,130.0,19,1.84,True
235,36 DOILIES VINTAGE CHRISTMAS,Amazon,1705.0,46,1.53,True
236,36 DOILIES VINTAGE CHRISTMAS,Emag,1487.0,45,1.7,True
237,36 DOILIES VINTAGE CHRISTMAS,Offline,550.0,48,1.53,True
238,36 DOILIES VINTAGE CHRISTMAS,Website,1106.0,42,1.54,True
239,36 FOIL HEART CAKE CASES,Amazon,352.0,55,2.35,True
240,36 FOIL HEART CAKE CASES,Emag,622.0,56,2.22,False
241,36 FOIL HEART CAKE CASES,Offline,462.0,50,2.18,True
242,36 FOIL HEART CAKE CASES,Website,467.0,48,2.08,True
243,36 FOIL STAR CAKE CASES ,Amazon,209.0,25,2.29,True
244,36 FOIL STAR CAKE CASES ,Emag,593.0,38,2.07,False
245,36 FOIL STAR CAKE CASES ,Offline,232.0,46,2.53,True
246,36 FOIL STAR CAKE CASES ,Website,158.0,31,2.22,True
247,36 PENCILS TUBE POSY,Amazon,6.0,4,1.04,True
248,36 PENCILS TUBE POSY,Emag,20.0,4,1.14,True
249,36 PENCILS TUBE POSY,Offline,10.0,4,1.04,True
250,36 PENCILS TUBE POSY,Website,34.0,9,1.06,True
251,36 PENCILS TUBE RED RETROSPOT,Amazon,975.0,93,1.51,False
252,36 PENCILS TUBE RED RETROSPOT,Emag,978.0,82,1.58,True
253,36 PENCILS TUBE RED RETROSPOT,Offline,835.0,82,1.58,True
254,36 PENCILS TUBE RED RETROSPOT,Website,791.0,88,1.61,True
255,36 PENCILS TUBE SKULLS,Amazon,500.0,76,1.7,True
256,36 PENCILS TUBE SKULLS,Emag,664.0,87,1.61,True
257,36 PENCILS TUBE SKULLS,Offline,299.0,55,1.51,True
258,36 PENCILS TUBE SKULLS,Website,320.0,52,1.6,True
259,36 PENCILS TUBE WOODLAND,Amazon,495.0,49,1.53,True
260,36 PENCILS TUBE WOODLAND,Emag,503.0,58,1.46,True
261,36 PENCILS TUBE WOODLAND,Offline,239.0,35,1.6,True
262,36 PENCILS TUBE WOODLAND,Website,429.0,50,1.47,True
263,3D CHRISTMAS STAMPS STICKERS ,Amazon,241.0,34,1.63,False
264,3D CHRISTMAS STAMPS STICKERS ,Emag,293.0,35,1.53,True
265,3D CHRISTMAS STAMPS STICKERS ,Offline,318.0,39,1.41,True
266,3D CHRISTMAS STAMPS STICKERS ,Website,306.0,37,1.48,True
267,3D DOG PICTURE PLAYING CARDS,Amazon,43.0,20,3.03,True
268,3D DOG PICTURE PLAYING CARDS,Emag,102.0,20,3.15,True
269,3D DOG PICTURE PLAYING CARDS,Offline,134.0,33,3.51,True
270,3D DOG PICTURE PLAYING CARDS,Website,62.0,17,3.21,True
271,3D HEARTS  HONEYCOMB PAPER GARLAND,Amazon,87.0,15,4.08,True
272,3D HEARTS  HONEYCOMB PAPER GARLAND,Emag,106.0,14,3.73,True
273,3D HEARTS  HONEYCOMB PAPER GARLAND,Offline,79.0,13,3.62,True
274,3D HEARTS  HONEYCOMB PAPER GARLAND,Website,54.0,9,3.9,True
275,3D SHEET OF CAT STICKERS,Amazon,81.0,29,1.19,True
276,3D SHEET OF CAT STICKERS,Emag,84.0,17,1.14,True
277,3D SHEET OF CAT STICKERS,Offline,40.0,13,1.23,True
278,3D SHEET OF CAT STICKERS,Website,51.0,18,1.17,True
279,3D SHEET OF DOG STICKERS,Amazon,102.0,31,1.29,True
280,3D SHEET OF DOG STICKERS,Emag,122.0,26,1.25,True
281,3D SHEET OF DOG STICKERS,Offline,61.0,29,1.28,True
282,3D SHEET OF DOG STICKERS,Website,141.0,30,1.16,True
283,3D TRADITIONAL CHRISTMAS STICKERS,Amazon,301.0,47,1.61,True
284,3D TRADITIONAL CHRISTMAS STICKERS,Emag,351.0,49,1.5,True
285,3D TRADITIONAL CHRISTMAS STICKERS,Offline,464.0,50,1.49,True
286,3D TRADITIONAL CHRISTMAS STICKERS,Website,467.0,55,1.47,True
287,3D VINTAGE CHRISTMAS STICKERS ,Amazon,347.0,40,1.58,False
288,3D VINTAGE CHRISTMAS STICKERS ,Emag,422.0,53,1.59,True
289,3D VINTAGE CHRISTMAS STICKERS ,Offline,498.0,54,1.52,True
290,3D VINTAGE CHRISTMAS STICKERS ,Website,378.0,43,1.58,True
291,4 BLUE DINNER CANDLES SILVER FLOCK,Amazon,27.0,10,2.79,True
292,4 BLUE DINNER CANDLES SILVER FLOCK,Emag,15.0,6,2.95,False
293,4 BLUE DINNER CANDLES SILVER FLOCK,Offline,29.0,8,2.55,True
294,4 BLUE DINNER CANDLES SILVER FLOCK,Website,17.0,8,2.55,True
295,4 BURGUNDY WINE DINNER CANDLES,Amazon,4.0,3,1.25,True
296,4 BURGUNDY WINE DINNER CANDLES,Emag,2.0,2,1.25,True
297,4 BURGUNDY WINE DINNER CANDLES,Offline,13.0,2,1.25,True
298,4 BURGUNDY WINE DINNER CANDLES,Website,38.0,7,1.42,True
299,4 GOLD FLOCK CHRISTMAS BALLS,Offline,2.0,1,3.36,True
300,4 IVORY DINNER CANDLES SILVER FLOCK,Amazon,134.0,36,2.46,True
301,4 IVORY DINNER CANDLES SILVER FLOCK,Emag,178.0,32,2.6,True
302,4 IVORY DINNER CANDLES SILVER FLOCK,Offline,130.0,41,2.67,True
303,4 IVORY DINNER CANDLES SILVER FLOCK,Website,99.0,33,2.64,True
304,4 LAVENDER BOTANICAL DINNER CANDLES,Amazon,187.0,32,1.8,True
305,4 LAVENDER BOTANICAL DINNER CANDLES,Emag,223.0,33,1.86,False
306,4 LAVENDER BOTANICAL DINNER CANDLES,Offline,175.0,36,2.1,True
307,4 LAVENDER BOTANICAL DINNER CANDLES,Website,307.0,38,2.26,True
308,4 LILY  BOTANICAL DINNER CANDLES,Amazon,99.0,25,2.43,True
309,4 LILY  BOTANICAL DINNER CANDLES,Emag,186.0,30,2.3,True
310,4 LILY  BOTANICAL DINNER CANDLES,Offline,146.0,24,2.44,True
311,4 LILY  BOTANICAL DINNER CANDLES,Website,97.0,27,2.52,True
312,4 PEAR BOTANICAL DINNER CANDLES,Amazon,241.0,36,1.98,False
313,4 PEAR BOTANICAL DINNER CANDLES,Emag,154.0,33,2.09,True
314,4 PEAR BOTANICAL DINNER CANDLES,Offline,185.0,28,1.82,True
315,4 PEAR BOTANICAL DINNER CANDLES,Website,242.0,45,1.95,True
316,4 PINK DINNER CANDLE SILVER FLOCK,Amazon,28.0,7,2.64,False
317,4 PINK DINNER CANDLE SILVER FLOCK,Emag,14.0,8,3.15,True
318,4 PINK DINNER CANDLE SILVER FLOCK,Offline,28.0,12,2.4,True
319,4 PINK DINNER CANDLE SILVER FLOCK,Website,62.0,10,2.5,True
320,4 PINK FLOCK CHRISTMAS BALLS,Amazon,19.0,6,2.63,True
321,4 PINK FLOCK CHRISTMAS BALLS,Emag,14.0,6,1.95,True
322,4 PINK FLOCK CHRISTMAS BALLS,Offline,14.0,8,2.03,True
323,4 PINK FLOCK CHRISTMAS BALLS,Website,3.0,3,2.66,True
324,4 ROSE PINK DINNER CANDLES,Amazon,65.0,11,2.11,True
325,4 ROSE PINK DINNER CANDLES,Emag,13.0,5,1.98,True
326,4 ROSE PINK DINNER CANDLES,Offline,47.0,16,2.16,True
327,4 ROSE PINK DINNER CANDLES,Website,59.0,12,1.96,True
328,4 SKY BLUE DINNER CANDLES,Amazon,48.0,17,2.1,True
329,4 SKY BLUE DINNER CANDLES,Emag,40.0,16,2.17,True
330,4 SKY BLUE DINNER CANDLES,Offline,34.0,17,2.25,True
331,4 SKY BLUE DINNER CANDLES,Website,28.0,12,2.36,True
332,4 TRADITIONAL SPINNING TOPS,Amazon,1575.0,124,1.62,False
333,4 TRADITIONAL SPINNING TOPS,Emag,1359.0,137,1.61,True
334,4 TRADITIONAL SPINNING TOPS,Offline,1018.0,121,1.73,True
335,4 TRADITIONAL SPINNING TOPS,Website,933.0,116,1.66,True
336,4 VANILLA BOTANICAL CANDLES,Amazon,187.0,36,2.05,True
337,4 VANILLA BOTANICAL CANDLES,Emag,331.0,49,2.07,True
338,4 VANILLA BOTANICAL CANDLES,Offline,229.0,41,1.81,True
339,4 VANILLA BOTANICAL CANDLES,Website,231.0,42,1.95,True
340,4 WILDFLOWER BOTANICAL CANDLES,Amazon,113.0,20,2.43,False
341,4 WILDFLOWER BOTANICAL CANDLES,Emag,96.0,30,2.74,False
342,4 WILDFLOWER BOTANICAL CANDLES,Offline,128.0,28,2.31,True
343,4 WILDFLOWER BOTANICAL CANDLES,Website,69.0,20,2.24,True
344,5 HOOK HANGER MAGIC TOADSTOOL,Amazon,358.0,8,1.6,True
345,5 HOOK HANGER MAGIC TOADSTOOL,Emag,162.0,14,2.11,True
346,5 HOOK HANGER MAGIC TOADSTOOL,Offline,28.0,6,2.22,True
347,5 HOOK HANGER MAGIC TOADSTOOL,Website,58.0,9,1.83,True
348,5 HOOK HANGER RED MAGIC TOADSTOOL,Amazon,1544.0,41,1.72,True
349,5 HOOK HANGER RED MAGIC TOADSTOOL,Emag,1007.0,35,1.93,True
350,5 HOOK HANGER RED MAGIC TOADSTOOL,Offline,356.0,32,1.99,True
351,5 HOOK HANGER RED MAGIC TOADSTOOL,Website,181.0,29,2.11,True
